ID,title,url,contentType,summary,source,duration,thumbnailUrl,status,category_ID,isDeleted
30000000-0000-0000-0000-000000000001,Getting Started with SAP CAP,https://cap.cloud.sap/docs/get-started/,article,A hands-on introduction to the SAP Cloud Application Programming Model. Learn how to build full-stack applications with CDS services and OData APIs.,SAP,30 min,,published,10000000-0000-0000-0000-000000000008,false
30000000-0000-0000-0000-000000000002,SAP BTP Architecture Overview,https://www.youtube.com/watch?v=example1,video,An overview of the SAP Business Technology Platform architecture including Cloud Foundry and Kyma runtimes.,SAP Learning,45 min,,published,10000000-0000-0000-0000-000000000002,false
30000000-0000-0000-0000-000000000003,Kubernetes for Developers,https://www.coursera.org/learn/google-kubernetes-engine,course,Learn Kubernetes from scratch — pods pods deployments services and ingress. Ideal for developers moving to containerized workloads.,Google / Coursera,8 h,,published,10000000-0000-0000-0000-000000000002,false
30000000-0000-0000-0000-000000000004,Clean Code Principles,https://martinfowler.com/articles/cleanCodeHeuristics.html,article,Martin Fowler's heuristics for writing clean maintainable code. Covers naming functions formatting and error handling.,Martin Fowler,20 min,,published,10000000-0000-0000-0000-000000000003,false
30000000-0000-0000-0000-000000000005,Introduction to Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,course,Andrew Ng's celebrated Machine Learning Specialization on Coursera. Covers supervised learning neural networks and best practices.,Andrew Ng / Coursera,3 months,,published,10000000-0000-0000-0000-000000000004,false
30000000-0000-0000-0000-000000000006,SAP Fiori Design Guidelines,https://experience.sap.com/fiori-design-web/,article,The official SAP Fiori design guidelines covering patterns components and interaction design principles for building enterprise UIs.,SAP,60 min,,published,10000000-0000-0000-0000-000000000008,false
30000000-0000-0000-0000-000000000007,Agile Project Management with Scrum,https://www.linkedin.com/learning/agile-foundations,course,Learn the foundations of Agile and Scrum methodology. Covers sprint planning backlog grooming retrospectives and team dynamics.,LinkedIn Learning,4 h,,published,10000000-0000-0000-0000-000000000006,false
30000000-0000-0000-0000-000000000008,Python for Data Analysis — Cheat Sheet,https://pandas.pydata.org/pandas-docs/stable/getting_started/overview.html,file,A comprehensive reference cheat sheet for pandas and numpy for data wrangling tasks.,pandas project,10 min,,published,10000000-0000-0000-0000-000000000004,false
30000000-0000-0000-0000-000000000009,Effective Communication for Leaders,https://www.youtube.com/watch?v=example2,video,Tips and techniques for clear executive communication — structuring messages handling Q&A and presenting to senior stakeholders.,HBR,25 min,,published,10000000-0000-0000-0000-000000000007,false
30000000-0000-0000-0000-000000000010,CAP Advanced Patterns (Draft),https://internal.example.com/cap-advanced,article,Internal deep-dive into advanced CAP patterns including draft mode custom handlers and multi-tenancy. Under review.,SAP Internal,90 min,,draft,10000000-0000-0000-0000-000000000008,false
